+-------------------------+--------+-------------------------+-------------------+-------------------+--------------------+-------------------+--------------------+
|           Name          | Symbol |           Slug          |       Price       | Percent_change_1h | Percent_change_24h | Percent_change_7d |     market_cap     |
+-------------------------+--------+-------------------------+-------------------+-------------------+--------------------+-------------------+--------------------+
|         Bitcoin         |  BTC   |         bitcoin         |    7732.1103077   |      0.271026     |      1.32307       |      10.9675      | 141873205889.10654 |
|         Ethereum        |  ETH   |         ethereum        |   194.886057472   |      0.517716     |     -0.558245      |      10.8356      | 21572991121.423325 |
|           XRP           |  XRP   |           xrp           |   0.195944935038  |     0.0939615     |      0.275803      |      5.06266      | 8643690137.175732  |
|          Tether         |  USDT  |          tether         |   1.00392573027   |     0.0175046     |      0.211518      |     -0.112527     | 6386004206.869035  |
|       Bitcoin Cash      |  BCH   |       bitcoin-cash      |   239.762139962   |      0.416203     |      -1.40731      |      6.29434      | 4409654328.726362  |
|        Bitcoin SV       |  BSV   |        bitcoin-sv       |   191.796236504   |     -0.141683     |      -2.02851      |      1.77117      | 3527193124.937521  |
|         Litecoin        |  LTC   |         litecoin        |   44.1651754339   |      0.498841     |     -0.859196      |      6.77281      | 2853283130.851119  |
|       Binance Coin      |  BNB   |       binance-coin      |   16.2541857394   |     0.0346446     |     -0.516839      |      4.80654      | 2528122622.397751  |
|           EOS           |  EOS   |           eos           |   2.72136672106   |     0.0860619     |     0.00570076     |      5.72204      | 2509510621.219253  |
|          Tezos          |  XTZ   |          tezos          |   2.69842781439   |      1.48886      |      -2.81632      |      23.3912      | 1911790738.0811229 |
|         Stellar         |  XLM   |         stellar         |   0.062747324191  |      0.780836     |     0.0491522      |      22.9165      | 1273511484.1491604 |
|        Chainlink        |  LINK  |        chainlink        |   3.59289863208   |       1.2637      |      -4.06699      |      0.606411     |   1257514521.228   |
|         Cardano         |  ADA   |         cardano         |  0.0452770823771  |     -0.214378     |     -0.986109      |      28.9119      | 1173902108.5459085 |
|          Monero         |  XMR   |          monero         |   61.6607493298   |      0.131193     |      0.963164      |      10.3091      | 1081475743.766009  |
|       UNUS SED LEO      |  LEO   |       unus-sed-leo      |   1.05156331463   |     -0.0956646    |      0.304675      |      1.13926      | 1051036368.7869394 |
|           TRON          |  TRX   |           tron          |  0.0144592584976  |      0.294629     |      2.03431       |      13.9309      | 964173318.9710771  |
|       Huobi Token       |   HT   |       huobi-token       |   4.04016002041   |      0.262726     |      0.390726      |      6.49211      | 899614727.0460922  |
|     Crypto.com Coin     |  CRO   |     crypto-com-coin     |   0.05589842325   |      0.402299     |      1.64345       |      12.9225      | 795493268.9541094  |
|           Dash          |  DASH  |           dash          |   82.1360987783   |      0.823467     |      -2.67061      |       6.6435      | 777092332.2034703  |
|         USD Coin        |  USDC  |         usd-coin        |    1.0019000563   |     -0.0351579    |      0.120632      |     -0.100644     |  750075657.12348   |
|     Ethereum Classic    |  ETC   |     ethereum-classic    |   6.04017100537   |      0.157145     |      -2.31686      |       12.343      | 702552216.1587315  |
|           Neo           |  NEO   |           neo           |   8.37062500678   |      0.710634     |      -3.09996      |      12.9615      | 590454102.7176282  |
|        HedgeTrade       |  HEDG  |        hedgetrade       |   1.96992893625   |      0.510002     |      -0.31983      |      5.22539      | 567750851.0856771  |
|          Cosmos         |  ATOM  |          cosmos         |   2.72416213809   |      0.865694     |      -3.5445       |      16.5531      | 519466226.24011695 |
|           IOTA          | MIOTA  |           iota          |   0.171934304039  |      0.700638     |      -2.82099      |      8.21028      | 477896604.76292974 |
|          Zcash          |  ZEC   |          zcash          |   43.8767796563   |      0.236859     |      -2.24551      |      -1.02551     | 396340870.24446785 |
